track_id,channel,sequence,timestamp_s,frequency_hz,psd_db
10,1,15,1782148671.784674,9213.3798828125,-68.41167449951172
10,1,16,1782148710.832058,9227.861328125,-68.04654693603516
10,1,17,1782148749.795287,9227.9375,-67.63491821289062
10,1,18,1782148788.763972,9227.935546875,-68.26992797851562
10,1,19,1782148827.49019,9200.435546875,-68.25868225097656
10,1,20,1782148866.351996,9179.6123046875,-68.01995086669922
10,1,22,1782148944.838435,9179.49609375,-68.19401550292969
10,1,25,1782149061.288065,9179.5712890625,-68.05918884277344
10,1,26,1782149099.963662,9163.7890625,-68.68638610839844
10,1,27,1782149138.994458,9163.5517578125,-67.81676483154297
10,1,28,1782149178.158596,9163.28125,-67.69757080078125
12,1,7,1782148360.082275,25292.12109375,-68.8509521484375
12,1,10,1782148476.886395,25523.619140625,-64.40705871582031
12,1,11,1782148515.646499,25493.580078125,-68.48723602294922
12,1,12,1782148554.831265,25493.5625,-68.36085510253906
12,1,13,1782148594.1207,25493.568359375,-68.34212493896484
12,1,14,1782148632.975721,25351.486328125,-70.62874603271484
12,1,15,1782148671.784674,25352.107421875,-70.39039611816406
12,1,16,1782148710.832058,25352.1015625,-70.37287902832031
12,1,17,1782148749.795287,25352.66015625,-71.07547760009766
12,1,18,1782148788.763972,25342.6796875,-72.48604583740234
12,1,19,1782148827.49019,25352.7265625,-72.88565826416016
12,1,20,1782148866.351996,25352.67578125,-72.88605499267578
12,1,22,1782148944.838435,25653.837890625,-69.32469177246094
12,1,23,1782148983.442225,25717.201171875,-69.52874755859375
12,1,24,1782149022.512289,25717.20703125,-69.50802612304688
13,1,7,1782148360.082275,25808.380859375,-49.35962677001953
13,1,9,1782148438.008428,25808.380859375,-49.36077880859375
13,1,10,1782148476.886395,26050.4921875,-48.518253326416016
13,1,11,1782148515.646499,26050.486328125,-48.513275146484375
13,1,12,1782148554.831265,26042.330078125,-48.000370025634766
13,1,13,1782148594.1207,26051.314453125,-47.02299499511719
13,1,14,1782148632.975721,26051.314453125,-47.02291488647461
13,1,15,1782148671.784674,26052.02734375,-46.97759246826172
13,1,16,1782148710.832058,26052.029296875,-46.97837448120117
13,1,17,1782148749.795287,26052.615234375,-47.30459213256836
13,1,18,1782148788.763972,26042.31640625,-48.00381088256836
13,1,19,1782148827.49019,26052.982421875,-48.5976448059082
13,1,20,1782148866.351996,26052.98828125,-48.600311279296875
13,1,21,1782148905.686078,26028.283203125,-49.84196090698242
13,1,22,1782148944.838435,26249.552734375,-50.02241516113281
13,1,23,1782148983.442225,26249.779296875,-49.61799621582031
13,1,24,1782149022.512289,26249.77734375,-49.61244583129883
14,1,7,1782148360.082275,26372.96484375,-69.17310333251953
14,1,9,1782148438.008428,26449.578125,-68.88663482666016
14,1,10,1782148476.886395,26650.185546875,-72.89593505859375
14,1,11,1782148515.646499,26650.16796875,-72.77427673339844
14,1,12,1782148554.831265,26642.19921875,-72.16790008544922
14,1,13,1782148594.1207,26651.34765625,-71.94288635253906
14,1,14,1782148632.975721,26651.373046875,-71.9540023803711
14,1,15,1782148671.784674,26752.83984375,-71.53044891357422
14,1,16,1782148710.832058,26752.859375,-71.55738830566406
14,1,17,1782148749.795287,26752.9765625,-71.30952453613281
14,1,18,1782148788.763972,26753.4453125,-72.09176635742188
14,1,19,1782148827.49019,26753.435546875,-72.12489318847656
14,1,20,1782148866.351996,26753.359375,-71.98628234863281
14,1,21,1782148905.686078,26538.5,-69.75980377197266
14,1,25,1782149061.288065,26255.076171875,-48.975467681884766
14,1,26,1782149099.963662,26255.076171875,-48.97534942626953
14,1,27,1782149138.994458,26255.076171875,-48.975276947021484
14,1,28,1782149178.158596,26255.029296875,-48.971763610839844
17,1,7,1782148360.082275,51616.75,-68.59516906738281
17,1,10,1782148476.886395,51616.74609375,-68.63188934326172
17,1,12,1782148554.831265,52084.6171875,-67.50052642822266
17,1,13,1782148594.1207,52084.609375,-67.48961639404297
17,1,14,1782148632.975721,52084.62109375,-67.468017578125
17,1,15,1782148671.784674,52084.625,-67.46027374267578
17,1,16,1782148710.832058,52084.625,-67.44223022460938
17,1,17,1782148749.795287,52084.625,-67.46609497070312
17,1,18,1782148788.763972,52084.6171875,-67.48023223876953
17,1,19,1782148827.49019,52104.43359375,-69.49900817871094
17,1,20,1782148866.351996,52104.43359375,-69.50460052490234
17,1,21,1782148905.686078,52250.359375,-70.72354125976562
17,1,22,1782148944.838435,52250.36328125,-70.65064239501953
17,1,23,1782148983.442225,52250.37109375,-70.69893646240234
17,1,24,1782149022.512289,52250.3671875,-70.69916534423828
17,1,25,1782149061.288065,52511.234375,-69.15475463867188
17,1,26,1782149099.963662,52511.23828125,-69.15892028808594
17,1,27,1782149138.994458,52593.5703125,-69.03977966308594
17,1,28,1782149178.158596,52593.5703125,-69.0540542602539
18,1,7,1782148360.082275,60249.63671875,-77.6595458984375
18,1,10,1782148476.886395,60249.71484375,-77.89991760253906
18,1,11,1782148515.646499,60249.8359375,-77.03133392333984
18,1,13,1782148594.1207,60249.3046875,-77.7010498046875
18,1,14,1782148632.975721,60249.08203125,-77.2916259765625
18,1,15,1782148671.784674,60249.125,-76.80914306640625
18,1,16,1782148710.832058,60249.140625,-76.46238708496094
18,1,17,1782148749.795287,60249.6640625,-76.07401275634766
18,1,18,1782148788.763972,60249.09375,-76.65380859375
18,1,20,1782148866.351996,60249.0546875,-77.53912353515625
18,1,21,1782148905.686078,60251.15625,-77.99781036376953
18,1,22,1782148944.838435,60250.76171875,-77.37452697753906
18,1,23,1782148983.442225,60251.08203125,-77.95724487304688
18,1,24,1782149022.512289,60251.1640625,-78.20817565917969
18,1,27,1782149138.994458,60249.09375,-77.48250579833984
18,1,28,1782149178.158596,60249.046875,-77.50527954101562
21,2,7,1782148360.082275,49.93620300292969,-33.690521240234375
21,2,8,1782148399.095252,49.934417724609375,-33.71770477294922
21,2,9,1782148438.008428,49.934967041015625,-33.74085235595703
21,2,10,1782148476.886395,49.93788528442383,-33.77421569824219
21,2,11,1782148515.646499,49.942745208740234,-33.78310775756836
21,2,12,1782148554.831265,49.94945526123047,-33.79042053222656
21,2,13,1782148594.1207,49.96308517456055,-33.7868537902832
21,2,14,1782148632.975721,49.97718048095703,-33.796695709228516
21,2,15,1782148671.784674,49.98792266845703,-33.79176330566406
21,2,16,1782148710.832058,49.997589111328125,-33.77076721191406
21,2,17,1782148749.795287,50.00505447387695,-33.14927673339844
21,2,18,1782148788.763972,50.007225036621094,-33.126033782958984
21,2,19,1782148827.49019,50.007904052734375,-33.12125778198242
21,2,20,1782148866.351996,50.005706787109375,-33.10816192626953
21,2,21,1782148905.686078,49.99980926513672,-33.0968132019043
21,2,22,1782148944.838435,49.991485595703125,-33.082000732421875
21,2,23,1782148983.442225,49.98310852050781,-33.06453323364258
21,2,24,1782149022.512289,49.97838592529297,-33.28520584106445
21,2,25,1782149061.288065,49.96858215332031,-34.15021514892578
21,2,26,1782149099.963662,49.96553421020508,-34.42068099975586
21,2,27,1782149138.994458,49.962738037109375,-34.67559051513672
21,2,28,1782149178.158596,49.96009826660156,-34.94705581665039
22,2,7,1782148360.082275,549.3235473632812,-61.31484603881836
22,2,8,1782148399.095252,549.30859375,-61.47827911376953
22,2,9,1782148438.008428,549.3062744140625,-61.564971923828125
22,2,10,1782148476.886395,549.335693359375,-61.495391845703125
22,2,11,1782148515.646499,549.3853149414062,-61.41631317138672
22,2,12,1782148554.831265,549.4528198242188,-61.33880615234375
22,2,13,1782148594.1207,549.5926513671875,-61.26935577392578
22,2,14,1782148632.975721,549.7328491210938,-61.122249603271484
22,2,15,1782148671.784674,549.8637084960938,-61.111419677734375
22,2,16,1782148710.832058,549.95703125,-60.91368865966797
22,2,17,1782148749.795287,550.0482177734375,-59.77763366699219
22,2,18,1782148788.763972,550.0729370117188,-59.762325286865234
22,2,19,1782148827.49019,550.0828247070312,-59.80394744873047
22,2,20,1782148866.351996,550.0603637695312,-59.7880744934082
22,2,21,1782148905.686078,550.0,-59.73817443847656
22,2,22,1782148944.838435,549.9197998046875,-59.749027252197266
22,2,23,1782148983.442225,549.8414306640625,-59.823970794677734
23,2,7,1782148360.082275,1248.52734375,-70.06539916992188
23,2,8,1782148399.095252,1248.4957275390625,-69.93434143066406
23,2,9,1782148438.008428,1248.504638671875,-69.86570739746094
23,2,10,1782148476.886395,1248.577880859375,-70.01229858398438
23,2,11,1782148515.646499,1248.6834716796875,-70.20459747314453
23,2,12,1782148554.831265,1248.8228759765625,-70.61170196533203
23,2,13,1782148594.1207,1248.9793701171875,-71.23885345458984
23,2,14,1782148632.975721,1049.427001953125,-71.42916870117188
23,2,15,1782148671.784674,1049.7017822265625,-71.25507354736328
23,2,16,1782148710.832058,1049.937744140625,-70.91998291015625
23,2,17,1782148749.795287,1050.09716796875,-68.73369598388672
23,2,18,1782148788.763972,1050.1319580078125,-68.65950775146484
23,2,19,1782148827.49019,1050.13427734375,-68.56814575195312
23,2,20,1782148866.351996,1050.0968017578125,-68.60877227783203
23,2,21,1782148905.686078,1050.0118408203125,-68.51254272460938
23,2,22,1782148944.838435,1049.8824462890625,-68.513427734375
23,2,23,1782148983.442225,1049.760009765625,-68.59269714355469
23,2,24,1782149022.512289,902.8204956054688,-41.23184585571289
23,2,25,1782149061.288065,902.8206787109375,-41.23149490356445
23,2,26,1782149099.963662,915.603759765625,-40.40114974975586
23,2,27,1782149138.994458,916.4095458984375,-38.317848205566406
23,2,28,1782149178.158596,916.5740966796875,-36.48912048339844
24,2,7,1782148360.082275,1747.9244384765625,-74.8304443359375
24,2,8,1782148399.095252,1747.865966796875,-75.01781463623047
24,2,9,1782148438.008428,1947.6287841796875,-75.10184478759766
24,2,10,1782148476.886395,1947.728759765625,-75.02899932861328
24,2,11,1782148515.646499,1947.8887939453125,-75.05451202392578
24,2,12,1782148554.831265,1948.093994140625,-75.44798278808594
24,2,13,1782148594.1207,1948.2974853515625,-75.96348571777344
24,2,14,1782148632.975721,1648.8426513671875,-76.09164428710938
24,2,15,1782148671.784674,1649.2315673828125,-77.06250762939453
24,2,16,1782148710.832058,1649.89306640625,-76.2382583618164
24,2,17,1782148749.795287,1550.112548828125,-74.1935806274414
24,2,18,1782148788.763972,1550.1639404296875,-74.06547546386719
24,2,19,1782148827.49019,1550.16796875,-73.9616928100586
24,2,20,1782148866.351996,1550.11181640625,-74.05923461914062
24,2,21,1782148905.686078,1549.99658203125,-73.95789337158203
24,2,22,1782148944.838435,1549.826416015625,-73.90934753417969
24,2,23,1782148983.442225,1549.646728515625,-74.03070068359375
25,2,7,1782148360.082275,2347.267333984375,-77.3130111694336
25,2,8,1782148399.095252,2347.185302734375,-77.14079284667969
25,2,9,1782148438.008428,2546.94580078125,-77.44963073730469
25,2,10,1782148476.886395,2547.072998046875,-77.8411865234375
25,2,11,1782148515.646499,2547.224365234375,-78.4166259765625
25,2,12,1782148554.831265,2547.275146484375,-79.09613037109375
25,2,13,1782148594.1207,2547.379638671875,-79.95950317382812
25,2,14,1782148632.975721,2248.20068359375,-78.23043823242188
25,2,15,1782148671.784674,2248.643798828125,-79.01821899414062
25,2,16,1782148710.832058,2249.89404296875,-79.33436584472656
25,2,17,1782148749.795287,2050.32421875,-76.7878189086914
25,2,18,1782148788.763972,2050.3369140625,-76.5030517578125
25,2,19,1782148827.49019,2050.342529296875,-76.39539337158203
25,2,20,1782148866.351996,2050.29052734375,-76.67800903320312
25,2,21,1782148905.686078,2050.047607421875,-76.4714126586914
25,2,22,1782148944.838435,2049.7001953125,-76.4886245727539
25,2,23,1782148983.442225,2049.401123046875,-76.88829040527344
25,2,24,1782149022.512289,1805.637939453125,-57.903404235839844
25,2,25,1782149061.288065,1828.60400390625,-56.76824188232422
25,2,26,1782149099.963662,1828.6112060546875,-56.75215148925781
25,2,27,1782149138.994458,1833.706298828125,-55.38616943359375
25,2,28,1782149178.158596,1833.698486328125,-53.182769775390625
26,2,7,1782148360.082275,2846.636962890625,-78.29034423828125
26,2,8,1782148399.095252,2846.531982421875,-78.29054260253906
26,2,14,1782148632.975721,2847.350341796875,-81.21192932128906
26,2,15,1782148671.784674,2847.720703125,-82.42881774902344
26,2,16,1782148710.832058,2951.12353515625,-81.89984130859375
26,2,17,1782148749.795287,2650.587158203125,-79.18036651611328
26,2,18,1782148788.763972,2650.489501953125,-78.78301239013672
26,2,19,1782148827.49019,2650.459228515625,-78.60575866699219
26,2,20,1782148866.351996,2650.399169921875,-78.96453857421875
26,2,21,1782148905.686078,2649.9462890625,-78.4905014038086
26,2,22,1782148944.838435,2649.513427734375,-78.53181457519531
26,2,23,1782148983.442225,2649.183349609375,-78.9503402709961
26,2,24,1782149022.512289,2708.796142578125,-68.62899017333984
26,2,25,1782149061.288065,2742.87353515625,-67.78456115722656
26,2,26,1782149099.963662,2742.890625,-67.78166961669922
26,2,27,1782149138.994458,2750.140380859375,-67.638916015625
26,2,28,1782149178.158596,2750.39111328125,-65.19027709960938
27,2,7,1782148360.082275,3346.05029296875,-81.8570327758789
27,2,8,1782148399.095252,3345.94384765625,-82.13420104980469
27,2,9,1782148438.008428,3146.184326171875,-80.01689147949219
27,2,10,1782148476.886395,3146.361083984375,-80.11080932617188
27,2,11,1782148515.646499,3146.584716796875,-80.581787109375
27,2,12,1782148554.831265,3146.68212890625,-81.41117095947266
27,2,13,1782148594.1207,3146.85791015625,-82.0431137084961
27,2,14,1782148632.975721,3346.836669921875,-84.78668975830078
27,2,15,1782148671.784674,3451.62841796875,-86.65681457519531
27,2,16,1782148710.832058,3451.3427734375,-85.7065658569336
27,2,17,1782148749.795287,3150.6484375,-82.82391357421875
27,2,18,1782148788.763972,3150.5146484375,-82.4424057006836
27,2,19,1782148827.49019,3150.47802734375,-82.24333953857422
27,2,20,1782148866.351996,3150.522705078125,-82.91903686523438
27,2,21,1782148905.686078,3149.683837890625,-82.19425201416016
27,2,22,1782148944.838435,3149.24853515625,-82.21754455566406
27,2,23,1782148983.442225,3349.245849609375,-83.61941528320312
27,2,24,1782149022.512289,3612.509033203125,-79.11419677734375
27,2,25,1782149061.288065,3248.23681640625,-83.62832641601562
27,2,26,1782149099.963662,3247.996337890625,-84.12062072753906
28,2,7,1782148360.082275,4045.2109375,-83.79166412353516
28,2,8,1782148399.095252,4045.120849609375,-83.46541595458984
28,2,9,1782148438.008428,3845.34326171875,-83.42121887207031
28,2,10,1782148476.886395,3845.47314453125,-83.89811706542969
28,2,11,1782148515.646499,3845.561279296875,-84.53612518310547
28,2,12,1782148554.831265,3845.5244140625,-85.18352508544922
28,2,13,1782148594.1207,3845.68896484375,-86.49710083007812
28,2,14,1782148632.975721,3846.205078125,-87.39131164550781
28,2,15,1782148671.784674,4052.43017578125,-88.04716491699219
28,2,16,1782148710.832058,4051.838134765625,-86.77520751953125
28,2,17,1782148749.795287,3650.550048828125,-84.54029846191406
28,2,18,1782148788.763972,3650.40771484375,-84.21981811523438
28,2,19,1782148827.49019,3650.294677734375,-83.97787475585938
28,2,20,1782148866.351996,3650.120849609375,-84.39715576171875
28,2,21,1782148905.686078,3649.68896484375,-83.9040756225586
28,2,22,1782148944.838435,3649.3740234375,-83.91659545898438
28,2,23,1782148983.442225,3949.048583984375,-84.89739227294922
28,2,25,1782149061.288065,3757.127197265625,-77.05313873291016
28,2,26,1782149099.963662,3757.12548828125,-77.04991149902344
28,2,27,1782149138.994458,3757.127685546875,-77.04105377197266
28,2,28,1782149178.158596,3766.41748046875,-75.11039733886719
29,2,7,1782148360.082275,4544.58984375,-86.74411010742188
29,2,8,1782148399.095252,4544.45947265625,-86.7127914428711
29,2,9,1782148438.008428,4344.81396484375,-84.34253692626953
29,2,10,1782148476.886395,4345.0244140625,-84.82478332519531
29,2,11,1782148515.646499,4345.19580078125,-85.3121566772461
29,2,12,1782148554.831265,4345.1806640625,-86.14288330078125
29,2,13,1782148594.1207,4345.365234375,-86.96702575683594
29,2,17,1782148749.795287,4150.81591796875,-85.58490753173828
29,2,18,1782148788.763972,4150.69580078125,-85.3304443359375
29,2,19,1782148827.49019,4150.60986328125,-85.17060089111328
29,2,20,1782148866.351996,4150.80029296875,-85.70967864990234
29,2,21,1782148905.686078,4149.7802734375,-85.10270690917969
29,2,22,1782148944.838435,4149.3466796875,-85.11222076416016
29,2,23,1782148983.442225,4648.66064453125,-86.01416778564453
29,2,24,1782149022.512289,4515.7958984375,-83.49933624267578
29,2,25,1782149061.288065,4571.4775390625,-81.65283203125
29,2,26,1782149099.963662,4571.47900390625,-81.6415023803711
29,2,27,1782149138.994458,4571.47900390625,-81.62590026855469
29,2,28,1782149178.158596,4583.181640625,-80.44539642333984
30,2,7,1782148360.082275,5143.88134765625,-85.7308349609375
30,2,8,1782148399.095252,5143.75,-85.21678924560547
30,2,9,1782148438.008428,5143.78369140625,-85.32777404785156
30,2,10,1782148476.886395,5143.87890625,-85.97789001464844
30,2,11,1782148515.646499,5143.93798828125,-86.79717254638672
30,2,12,1782148554.831265,5143.8505859375,-87.39163208007812
30,2,13,1782148594.1207,5144.00634765625,-88.3948974609375
30,2,14,1782148632.975721,4845.16064453125,-88.99833679199219
